node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,midYear,startUTLA,endUTLA,startRegion,endRegion,geoDist_km
23803,23818,0.0127373,353433.898454926,444244.971472253,366473.398919554,439944.522430656,0.202729361,0.189992061,2020.8704622973,2020.8831995973,2020.8768309473,157,156,NA,NA,13.7363777804357
29947,29958,0.00331681,311983.247478894,620920.263104608,312012.670308609,620222.699791081,0.202742807,0.199425997,2020.8798962333,2020.8832130433,2020.8815546383,262,262,Norfolk,Norfolk,0.696587796265131
21231,21252,0.0121621,194146.013480656,524585.634304403,191286.949177509,526000.51718898,0.202781854,0.190619754,2020.8710899903,2020.8832520903,2020.8771710403,342,342,Greater_London,Greater_London,3.19093744912319
20312,20317,0.0134168,160415.598804786,569935.677852749,166655.624860544,572162.635115722,0.202823807,0.189407007,2020.8698772433,2020.8832940433,2020.8765856433,190,46,Kent,Kent,6.62734356597003
31995,31996,0.013385,179447.911071974,552430.79704532,180297.851566485,551905.103841,0.202851537,0.189466537,2020.8699367733,2020.8833217733,2020.8766292733,338,338,Greater_London,Greater_London,0.999404693694785
21838,21839,0.029862,175839.501487024,564139.850133511,206569.248284519,536810.741075423,0.20285928,0.17299728,2020.8534675163,2020.8833295163,2020.8683985163,110,180,NA,NA,41.1077100731447
33590,33591,0.00908551999999999,188162.744537791,542786.758808192,189535.99067486,539235.768620139,0.20287447,0.19378895,2020.8742591863,2020.8833447063,2020.8788019463,350,349,Greater_London,Greater_London,3.80155380205331
20461,20509,0.0345139,191279.790327893,517523.975806697,188845.877262539,523044.376649642,0.20289133,0.16837743,2020.8488476663,2020.8833615663,2020.8661046163,340,342,Greater_London,Greater_London,6.02495713965166
24074,24075,0.00246083,192114.093614427,529364.703138968,191128.95487093,530037.88748774,0.202910456,0.200449626,2020.8809198623,2020.8833806923,2020.8821502773,348,362,Greater_London,Greater_London,1.19314959563178
25207,25248,0.00108494000000001,161940.393837728,577826.305462281,159065.644384421,578554.939740558,0.202923369,0.201838429,2020.8823086653,2020.8833936053,2020.8828511353,192,192,Kent,Kent,2.96710145212296
